Sl. No.,Location,Identification,Source,Depth,Water Use,Land Use_Specific Activity,City
99,"Park Town Area
","Public Hand Pump
","HP
",45,"Drinking
","Urban
",Chennai
100,"IIT Madras Campus
",Near Q.No. D1/42,"HP
",45,"Drinking
","Urban
",Chennai
126,"Benz circle
","Opp. Nirmala Convent
","HP
",36,"Drinking
","Urban
",Vijaywada
128,"Auto Nagar
","Opp. India Radiators
","HP
",48,"Drinking
","Urban
",Vijaywada
129,"Goldsport Junction
","Sri. Lakshmi Rice Store
","HP
",12,"Drinking
","Urban
",Vijaywada
130,"Gunadala
","Opp. ESI Hospital
","HP
",10,"Drinking
","Urban
",Vijaywada
132,"Khandrika
","Khandrika Bus Stop Centre
","HP
",30,"Drinking
","Urban
",Vijaywada
133,"Payakapuram
","Sri. Manasa Fast Foods
","HP
",21,"Drinking
","Urban
",Vijaywada
134,"Ajit Singh Nagar
","Rajasri Bar and Restaurant
","HP
",24,"Drinking
","Urban
",Vijaywada
135,"Satyanarayana Puram
",D.No. 23-16-27,"OW
",5,"Drinking
","Urban
",Vijaywada
136,"Krishna Lanka
",D.No. 41-1/6-2,"HP
",15,"Drinking
","Urban
",Vijaywada
137,"Governor Peta
","Hotal Paradise
","HP
",9,"Drinking
","Urban
",Vijaywada
138,"Krishna Lanka
","Opp. Central Bus Stand
","HP
",27,"Drinking
","Urban
",Vijaywada
139,"Hanuman Peta
","Near Govt. General
Hospital
","HP
",30,"Drinking
","Urban
",Vijaywada
140,"Kotha Peta
","Near St. Ani Public School
","HP
",18,"Drinking
","Urban
",Vijaywada
141,"Bheemannavari Peta
","Sri. Ganganamma Devi
Temple
","HP
",18,"Drinking
","Urban
",Vijaywada
142,"Vidhyadhara Puram
","Near RTC Workshop
","HP
",38,"Drinking
","Urban
",Vijaywada
143,"Jogi Nagar
","Near Church
","HP
",45,"Drinking
","Urban
",Vijaywada
144,"Urmila Subba Rao
Nagar
",D.No. 76-17-161,"HP
",30,"Drinking
","Urban
",Vijaywada
145,"Bhavanipuram
",HIG-H1-70,"HP
",45,"Drinking
","Urban
",Vijaywada
146,"Hyderabad Highway
","NH-9 & HB Colony
Junction","HP
",45,"Drinking
","Urban
",Vijaywada
147,"Vidhyadhara Puram
","Anita Apartments
","HP
",30,"Drinking
","Urban
",Vijaywada
149,"Rajarajeswari Peta
","Opp. Habeeb E. Medium
School
","HP
",30,"Drinking
","Urban
",Vijaywada
150,"Governor Peta
","Near Surya Hotal
","HP
",16,"Drinking
","Urban
",Vijaywada
