,Country/Region,variable,value
288,US,2/19/20,14
289,United Kingdom,2/19/20,20
290,Australia,2/20/20,15
291,Canada,2/20/20,11
292,China,2/20/20,75077
293,Germany,2/20/20,16
294,"Korea, South",2/20/20,104
295,Malaysia,2/20/20,22
296,Russia,2/20/20,2
297,Singapore,2/20/20,84
298,US,2/20/20,14
299,United Kingdom,2/20/20,22
300,Australia,2/21/20,15
301,Canada,2/21/20,13
302,China,2/21/20,75550
303,Germany,2/21/20,16
304,"Korea, South",2/21/20,204
305,Malaysia,2/21/20,22
306,Russia,2/21/20,2
307,Singapore,2/21/20,85
308,US,2/21/20,16
309,United Kingdom,2/21/20,23
310,Australia,2/22/20,15
311,Canada,2/22/20,14
312,China,2/22/20,77001
313,Germany,2/22/20,16
314,"Korea, South",2/22/20,433
315,Malaysia,2/22/20,22
316,Russia,2/22/20,2
317,Singapore,2/22/20,85
318,US,2/22/20,16
319,United Kingdom,2/22/20,23
320,Australia,2/23/20,15
321,Canada,2/23/20,15
322,China,2/23/20,77022
323,Germany,2/23/20,16
324,"Korea, South",2/23/20,602
325,Malaysia,2/23/20,22
326,Russia,2/23/20,2
327,Singapore,2/23/20,89
328,US,2/23/20,16
329,United Kingdom,2/23/20,28
330,Australia,2/24/20,15
331,Canada,2/24/20,16
332,China,2/24/20,77241
333,Germany,2/24/20,16
334,"Korea, South",2/24/20,833
335,Malaysia,2/24/20,22
336,Russia,2/24/20,2
337,Singapore,2/24/20,89
338,US,2/24/20,16
339,United Kingdom,2/24/20,30
340,Australia,2/25/20,15
341,Canada,2/25/20,19
342,China,2/25/20,77754
343,Germany,2/25/20,16
344,"Korea, South",2/25/20,977
345,Malaysia,2/25/20,22
346,Russia,2/25/20,2
347,Singapore,2/25/20,91
348,US,2/25/20,16
349,United Kingdom,2/25/20,34
350,Australia,2/26/20,15
351,Canada,2/26/20,20
352,China,2/26/20,78166
353,Germany,2/26/20,21
354,"Korea, South",2/26/20,1261
355,Malaysia,2/26/20,22
356,Russia,2/26/20,2
357,Singapore,2/26/20,93
358,US,2/26/20,16
359,United Kingdom,2/26/20,37
360,Australia,2/27/20,15
361,Canada,2/27/20,22
362,China,2/27/20,78600
363,Germany,2/27/20,26
364,"Korea, South",2/27/20,1766
365,Malaysia,2/27/20,23
366,Russia,2/27/20,2
367,Singapore,2/27/20,93
368,US,2/27/20,17
369,United Kingdom,2/27/20,44
370,Australia,2/28/20,15
371,Canada,2/28/20,28
372,China,2/28/20,78928
373,Germany,2/28/20,53
374,"Korea, South",2/28/20,2337
375,Malaysia,2/28/20,25
376,Russia,2/28/20,2
377,Singapore,2/28/20,93
378,US,2/28/20,17
379,United Kingdom,2/28/20,56
380,Australia,2/29/20,25
381,Canada,2/29/20,33
382,China,2/29/20,79356
383,Germany,2/29/20,66
384,"Korea, South",2/29/20,3150
385,Malaysia,2/29/20,29
386,Russia,2/29/20,2
387,Singapore,2/29/20,102
388,US,2/29/20,25
389,United Kingdom,2/29/20,61
390,Australia,3/1/20,27
391,Canada,3/1/20,38
392,China,3/1/20,79932
393,Germany,3/1/20,117
394,"Korea, South",3/1/20,3736
395,Malaysia,3/1/20,29
396,Russia,3/1/20,2
397,Singapore,3/1/20,106
398,US,3/1/20,32
399,United Kingdom,3/1/20,94
400,Australia,3/2/20,30
401,Canada,3/2/20,45
402,China,3/2/20,80136
403,Germany,3/2/20,150
404,"Korea, South",3/2/20,4335
405,Malaysia,3/2/20,29
406,Russia,3/2/20,3
407,Singapore,3/2/20,108
408,US,3/2/20,55
409,United Kingdom,3/2/20,134
410,Australia,3/3/20,39
411,Canada,3/3/20,51
412,China,3/3/20,80261
413,Germany,3/3/20,188
414,"Korea, South",3/3/20,5186
415,Malaysia,3/3/20,36
416,Russia,3/3/20,3
417,Singapore,3/3/20,110
418,US,3/3/20,74
419,United Kingdom,3/3/20,189
420,Australia,3/4/20,52
421,Canada,3/4/20,59
422,China,3/4/20,80386
423,Germany,3/4/20,240
424,"Korea, South",3/4/20,5621
425,Malaysia,3/4/20,50
