,Country/Region,variable,value
4483,Germany,4/14/21,3044016
4484,"Korea, South",4/14/21,112117
4485,Malaysia,4/14/21,365829
4486,Russia,4/14/21,4613646
4487,Singapore,4/14/21,60719
4488,US,4/14/21,31527181
4489,United Kingdom,4/14/21,4393328
4490,Australia,4/15/21,29484
4491,Canada,4/15/21,1109734
4492,China,4/15/21,110715
4493,Germany,4/15/21,3073442
4494,"Korea, South",4/15/21,112789
4495,Malaysia,4/15/21,367977
4496,Russia,4/15/21,4622464
4497,Singapore,4/15/21,60735
4498,US,4/15/21,31601255
4499,United Kingdom,4/15/21,4396095
4500,Australia,4/16/21,29499
4501,Canada,4/16/21,1118002
4502,China,4/16/21,110778
4503,Germany,4/16/21,3099273
4504,"Korea, South",4/16/21,113444
4505,Malaysia,4/16/21,370528
4506,Russia,4/16/21,4631336
4507,Singapore,4/16/21,60769
4508,US,4/16/21,31684721
4509,United Kingdom,4/16/21,4398902
4510,Australia,4/17/21,29519
4511,Canada,4/17/21,1125830
4512,China,4/17/21,110829
4513,Germany,4/17/21,3123077
4514,"Korea, South",4/17/21,114115
4515,Malaysia,4/17/21,372859
4516,Russia,4/17/21,4640537
4517,Singapore,4/17/21,60808
4518,US,4/17/21,31740209
4519,United Kingdom,4/17/21,4401175
4520,Australia,4/18/21,29533
4521,Canada,4/18/21,1133021
4522,China,4/18/21,110881
4523,Germany,4/18/21,3142262
4524,"Korea, South",4/18/21,114646
4525,Malaysia,4/18/21,375054
4526,Russia,4/18/21,4649044
4527,Singapore,4/18/21,60831
4528,US,4/18/21,31784035
4529,United Kingdom,4/18/21,4403059
4530,Australia,4/19/21,29556
4531,Canada,4/19/21,1142625
4532,China,4/19/21,110916
4533,Germany,4/19/21,3153699
4534,"Korea, South",4/19/21,115195
4535,Malaysia,4/19/21,377132
4536,Russia,4/19/21,4657509
4537,Singapore,4/19/21,60851
4538,US,4/19/21,31842577
4539,United Kingdom,4/19/21,4406113
4540,Australia,4/20/21,29576
4541,Canada,4/20/21,1150528
4542,China,4/20/21,110952
4543,Germany,4/20/21,3163308
4544,"Korea, South",4/20/21,115926
4545,Malaysia,4/20/21,379473
4546,Russia,4/20/21,4665553
4547,Singapore,4/20/21,60865
4548,US,4/20/21,31905022
4549,United Kingdom,4/20/21,4408644
4550,Australia,4/21/21,29594
4551,Canada,4/21/21,1158744
4552,China,4/21/21,110966
4553,Germany,4/21/21,3188192
4554,"Korea, South",4/21/21,116661
4555,Malaysia,4/21/21,381813
4556,Russia,4/21/21,4673699
4557,Singapore,4/21/21,60880
4558,US,4/21/21,31969363
4559,United Kingdom,4/21/21,4411066
4560,Australia,4/22/21,29638
4561,Canada,4/22/21,1167777
4562,China,4/22/21,111014
4563,Germany,4/22/21,3217710
4564,"Korea, South",4/22/21,117458
4565,Malaysia,4/22/21,384688
4566,Russia,4/22/21,4682573
4567,Singapore,4/22/21,60904
4568,US,4/22/21,32036083
4569,United Kingdom,4/22/21,4413832
4570,Australia,4/23/21,29653
4571,Canada,4/23/21,1176003
4572,China,4/23/21,111053
4573,Germany,4/23/21,3245253
4574,"Korea, South",4/23/21,118243
4575,Malaysia,4/23/21,387535
4576,Russia,4/23/21,4691290
4577,Singapore,4/23/21,60943
4578,US,4/23/21,32098977
4579,United Kingdom,4/23/21,4416530
4580,Australia,4/24/21,29663
4581,Canada,4/24/21,1183187
4582,China,4/24/21,111079
4583,Germany,4/24/21,3268645
4584,"Korea, South",4/24/21,118887
4585,Malaysia,4/24/21,390252
4586,Russia,4/24/21,4699988
4587,Singapore,4/24/21,60966
4588,US,4/24/21,32153944
4589,United Kingdom,4/24/21,4418652
4590,Australia,4/25/21,29680
4591,Canada,4/25/21,1189788
4592,China,4/25/21,111110
4593,Germany,4/25/21,3287418
4594,"Korea, South",4/25/21,119387
4595,Malaysia,4/25/21,392942
4596,Russia,4/25/21,4708640
4597,Singapore,4/25/21,61006
4598,US,4/25/21,32188716
4599,United Kingdom,4/25/21,4420385
4600,Australia,4/26/21,29717
4601,Canada,4/26/21,1198434
4602,China,4/26/21,111142
4603,Germany,4/26/21,3299325
4604,"Korea, South",4/26/21,119898
4605,Malaysia,4/26/21,395718
4606,Russia,4/26/21,4717321
4607,Singapore,4/26/21,61051
4608,US,4/26/21,32230999
4609,United Kingdom,4/26/21,4422504
4610,Australia,4/27/21,29750
4611,Canada,4/27/21,1205937
4612,China,4/27/21,111172
4613,Germany,4/27/21,3310301
4614,"Korea, South",4/27/21,120673
4615,Malaysia,4/27/21,398451
4616,Russia,4/27/21,4725252
4617,Singapore,4/27/21,61063
4618,US,4/27/21,32283289
4619,United Kingdom,4/27/21,4425202
4620,Australia,4/28/21,29773
4621,Canada,4/28/21,1214206
4622,China,4/28/21,111211
4623,Germany,4/28/21,3332532
4624,"Korea, South",4/28/21,121351
4625,Malaysia,4/28/21,401593
4626,Russia,4/28/21,4732981
4627,Singapore,4/28/21,61086
4628,US,4/28/21,32338474
4629,United Kingdom,4/28/21,4427389
4630,Australia,4/29/21,29798
4631,Canada,4/29/21,1222564
4632,China,4/29/21,111252
4633,Germany,4/29/21,3357268
4634,"Korea, South",4/29/21,122007
4635,Malaysia,4/29/21,404925
4636,Russia,4/29/21,4742142
4637,Singapore,4/29/21,61121
4638,US,4/29/21,32397304
4639,United Kingdom,4/29/21,4429848
4640,Australia,4/30/21,29811
4641,Canada,4/30/21,1230530
4642,China,4/30/21,111290
4643,Germany,4/30/21,3381597
4644,"Korea, South",4/30/21,122634
4645,Malaysia,4/30/21,408713
4646,Russia,4/30/21,4750755
4647,Singapore,4/30/21,61145
4648,US,4/30/21,32455402
4649,United Kingdom,4/30/21,4432245
4650,Australia,5/1/21,29824
4651,Canada,5/1/21,1238296
4652,China,5/1/21,111325
4653,Germany,5/1/21,3400532
4654,"Korea, South",5/1/21,123240
4655,Malaysia,5/1/21,411594
4656,Russia,5/1/21,4759902
4657,Singapore,5/1/21,61179
4658,US,5/1/21,32504183
4659,United Kingdom,5/1/21,4434156
4660,Australia,5/2/21,29838
4661,Canada,5/2/21,1244435
4662,China,5/2/21,111354
4663,Germany,5/2/21,3416822
4664,"Korea, South",5/2/21,123728
4665,Malaysia,5/2/21,415012
4666,Russia,5/2/21,4768476
4667,Singapore,5/2/21,61218
4668,US,5/2/21,32534734
4669,United Kingdom,5/2/21,4435830
4670,Australia,5/3/21,29850
4671,Canada,5/3/21,1252750
4672,China,5/3/21,111385
4673,Germany,5/3/21,3425982
4674,"Korea, South",5/3/21,124269
4675,Malaysia,5/3/21,417512
4676,Russia,5/3/21,4776844
4677,Singapore,5/3/21,61235
4678,US,5/3/21,32579354
4679,United Kingdom,5/3/21,4437504
4680,Australia,5/4/21,29865
4681,Canada,5/4/21,1259651
4682,China,5/4/21,111411
4683,Germany,5/4/21,3433516
4684,"Korea, South",5/4/21,124945
4685,Malaysia,5/4/21,420632
4686,Russia,5/4/21,4784497
4687,Singapore,5/4/21,61252
4688,US,5/4/21,32622253
4689,United Kingdom,5/4/21,4439487
4690,Australia,5/5/21,29884
4691,Canada,5/5/21,1267370
4692,China,5/5/21,111431
4693,Germany,5/5/21,3451550
4694,"Korea, South",5/5/21,125519
4695,Malaysia,5/5/21,424376
4696,Russia,5/5/21,4792354
4697,Singapore,5/5/21,61268
4698,US,5/5/21,32668296
4699,United Kingdom,5/5/21,4441642
4700,Australia,5/6/21,29893
4701,Canada,5/6/21,1275453
4702,China,5/6/21,111451
4703,Germany,5/6/21,3473503
4704,"Korea, South",5/6/21,126044
4705,Malaysia,5/6/21,427927
4706,Russia,5/6/21,4799872
4707,Singapore,5/6/21,61286
4708,US,5/6/21,32714472
4709,United Kingdom,5/6/21,4444260
4710,Australia,5/7/21,29906
4711,Canada,5/7/21,1283199
4712,China,5/7/21,111478
4713,Germany,5/7/21,3491988
4714,"Korea, South",5/7/21,126745
4715,Malaysia,5/7/21,432425
4716,Russia,5/7/21,4808133
4717,Singapore,5/7/21,61311
4718,US,5/7/21,32762898
4719,United Kingdom,5/7/21,4446750
4720,Australia,5/8/21,29922
4721,Canada,5/8/21,1289678
4722,China,5/8/21,111501
4723,Germany,5/8/21,3507673
4724,"Korea, South",5/8/21,127309
4725,Malaysia,5/8/21,436944
4726,Russia,5/8/21,4816331
4727,Singapore,5/8/21,61331
4728,US,5/8/21,32798539
4729,United Kingdom,5/8/21,4448806
4730,Australia,5/9/21,29931
4731,Canada,5/9/21,1295213
4732,China,5/9/21,111522
4733,Germany,5/9/21,3520329
4734,"Korea, South",5/9/21,127772
4735,Malaysia,5/9/21,440677
4736,Russia,5/9/21,4824621
4737,Singapore,5/9/21,61359
4738,US,5/9/21,32821412
4739,United Kingdom,5/9/21,4450577
4740,Australia,5/10/21,29938
4741,Canada,5/10/21,1302154
4742,China,5/10/21,111558
4743,Germany,5/10/21,3527251
4744,"Korea, South",5/10/21,128283
4745,Malaysia,5/10/21,444484
4746,Russia,5/10/21,4832959
4747,Singapore,5/10/21,61378
4748,US,5/10/21,32853789
4749,United Kingdom,5/10/21,4452954
4750,Australia,5/11/21,29946
4751,Canada,5/11/21,1308236
4752,China,5/11/21,111596
4753,Germany,5/11/21,3533376
4754,"Korea, South",5/11/21,128918
4755,Malaysia,5/11/21,448457
4756,Russia,5/11/21,4840948
4757,Singapore,5/11/21,61403
4758,US,5/11/21,32889270
4759,United Kingdom,5/11/21,4455444
4760,Australia,5/12/21,29955
4761,Canada,5/12/21,1314850
4762,China,5/12/21,111614
4763,Germany,5/12/21,3548285
4764,"Korea, South",5/12/21,129633
4765,Malaysia,5/12/21,453222
4766,Russia,5/12/21,4849044
4767,Singapore,5/12/21,61419
4768,US,5/12/21,32925419
4769,United Kingdom,5/12/21,4457741
4770,Australia,5/13/21,29957
4771,Canada,5/13/21,1321202
4772,China,5/13/21,111637
4773,Germany,5/13/21,3565704
4774,"Korea, South",5/13/21,130380
4775,Malaysia,5/13/21,458077
4776,Russia,5/13/21,4857303
4777,Singapore,5/13/21,61453
4778,US,5/13/21,32964160
4779,United Kingdom,5/13/21,4460404
4780,Australia,5/14/21,29964
4781,Canada,5/14/21,1327214
4782,China,5/14/21,111674
4783,Germany,5/14/21,3577040
4784,"Korea, South",5/14/21,131061
4785,Malaysia,5/14/21,462190
4786,Russia,5/14/21,4866641
4787,Singapore,5/14/21,61505
4788,US,5/14/21,33006371
4789,United Kingdom,5/14/21,4462602
4790,Australia,5/15/21,29975
4791,Canada,5/15/21,1332007
4792,China,5/15/21,111720
4793,Germany,5/15/21,3584934
4794,"Korea, South",5/15/21,131671
4795,Malaysia,5/15/21,466330
4796,Russia,5/15/21,4875308
4797,Singapore,5/15/21,61536
4798,US,5/15/21,33037127
4799,United Kingdom,5/15/21,4464662
4800,Australia,5/16/21,29978
4801,Canada,5/16/21,1336276
4802,China,5/16/21,111766
4803,Germany,5/16/21,3593434
4804,"Korea, South",5/16/21,132290
4805,Malaysia,5/16/21,470110
4806,Russia,5/16/21,4883734
4807,Singapore,5/16/21,61585
4808,US,5/16/21,33054818
4809,United Kingdom,5/16/21,4466589
4810,Australia,5/17/21,29983
4811,Canada,5/17/21,1341268
4812,China,5/17/21,111803
4813,Germany,5/17/21,3598846
4814,"Korea, South",5/17/21,132818
4815,Malaysia,5/17/21,474556
4816,Russia,5/17/21,4892938
4817,Singapore,5/17/21,61613
4818,US,5/17/21,33080076
4819,United Kingdom,5/17/21,4468580
4820,Australia,5/18/21,29992
4821,Canada,5/18/21,1345649
4822,China,5/18/21,111832
4823,Germany,5/18/21,3603055
4824,"Korea, South",5/18/21,133471
4825,Malaysia,5/18/21,479421
4826,Russia,5/18/21,4900995
4827,Singapore,5/18/21,61651
4828,US,5/18/21,33108993
4829,United Kingdom,5/18/21,4466218
4830,Australia,5/19/21,29995
4831,Canada,5/19/21,1350639
4832,China,5/19/21,111857
4833,Germany,5/19/21,3614095
4834,"Korea, South",5/19/21,134117
4835,Malaysia,5/19/21,485496
4836,Russia,5/19/21,4908794
4837,Singapore,5/19/21,61689
4838,US,5/19/21,33138591
4839,United Kingdom,5/19/21,4468364
4840,Australia,5/20/21,29999
4841,Canada,5/20/21,1355117
4842,China,5/20/21,111897
4843,Germany,5/20/21,3626393
4844,"Korea, South",5/20/21,134678
4845,Malaysia,5/20/21,492302
4846,Russia,5/20/21,4917906
4847,Singapore,5/20/21,61730
4848,US,5/20/21,33168808
4849,United Kingdom,5/20/21,4471063
4850,Australia,5/21/21,30003
4851,Canada,5/21/21,1359588
4852,China,5/21/21,111933
4853,Germany,5/21/21,3635162
4854,"Korea, South",5/21/21,135344
4855,Malaysia,5/21/21,498795
4856,Russia,5/21/21,4926717
4857,Singapore,5/21/21,61770
4858,US,5/21/21,33197634
4859,United Kingdom,5/21/21,4473772
4860,Australia,5/22/21,30007
4861,Canada,5/22/21,1363020
4862,China,5/22/21,111975
4863,Germany,5/22/21,3642244
4864,"Korea, South",5/22/21,135929
4865,Malaysia,5/22/21,505115
4866,Russia,5/22/21,4935302
4867,Singapore,5/22/21,61799
4868,US,5/22/21,33218839
4869,United Kingdom,5/22/21,4476296
4870,Australia,5/23/21,30019
4871,Canada,5/23/21,1365851
4872,China,5/23/21,112014
4873,Germany,5/23/21,3648958
4874,"Korea, South",5/23/21,136467
4875,Malaysia,5/23/21,512091
4876,Russia,5/23/21,4944129
4877,Singapore,5/23/21,61824
4878,US,5/23/21,33232624
4879,United Kingdom,5/23/21,4478391
4880,Australia,5/24/21,30029
4881,Canada,5/24/21,1368224
4882,China,5/24/21,112051
4883,Germany,5/24/21,3651640
4884,"Korea, South",5/24/21,136983
4885,Malaysia,5/24/21,518600
4886,Russia,5/24/21,4952412
4887,Singapore,5/24/21,61860
4888,US,5/24/21,33254500
4889,United Kingdom,5/24/21,4480757
4890,Australia,5/25/21,30046
4891,Canada,5/25/21,1371721
4892,China,5/25/21,112082
4893,Germany,5/25/21,3653551
4894,"Korea, South",5/25/21,137682
4895,Malaysia,5/25/21,525889
4896,Russia,5/25/21,4960174
4897,Singapore,5/25/21,61890
4898,US,5/25/21,33279092
4899,United Kingdom,5/25/21,4483175
4900,Australia,5/26/21,30063
4901,Canada,5/26/21,1374572
4902,China,5/26/21,112113
4903,Germany,5/26/21,3656177
4904,"Korea, South",5/26/21,138311
4905,Malaysia,5/26/21,533367
4906,Russia,5/26/21,4968421
4907,Singapore,5/26/21,61916
4908,US,5/26/21,33303689
4909,United Kingdom,5/26/21,4486166
4910,Australia,5/27/21,30074
4911,Canada,5/27/21,1377598
4912,China,5/27/21,112141
4913,Germany,5/27/21,3662490
4914,"Korea, South",5/27/21,138898
4915,Malaysia,5/27/21,541224
4916,Russia,5/27/21,4977332
4917,Singapore,5/27/21,61940
4918,US,5/27/21,33330528
4919,United Kingdom,5/27/21,4489550
4920,Australia,5/28/21,30083
4921,Canada,5/28/21,1380542
4922,China,5/28/21,112183
4923,Germany,5/28/21,3669870
4924,"Korea, South",5/28/21,139431
4925,Malaysia,5/28/21,549514
4926,Russia,5/28/21,4986458
4927,Singapore,5/28/21,61970
4928,US,5/28/21,33352771
4929,United Kingdom,5/28/21,4493580
4930,Australia,5/29/21,30096
4931,Canada,5/29/21,1382890
4932,China,5/29/21,112207
4933,Germany,5/29/21,3675296
4934,"Korea, South",5/29/21,139910
4935,Malaysia,5/29/21,558534
4936,Russia,5/29/21,4995613
4937,Singapore,5/29/21,62003
4938,US,5/29/21,33366078
4939,United Kingdom,5/29/21,4496821
4940,Australia,5/30/21,30105
4941,Canada,5/30/21,1384742
4942,China,5/30/21,112256
4943,Germany,5/30/21,3679148
4944,"Korea, South",5/30/21,140340
4945,Malaysia,5/30/21,565533
4946,Russia,5/30/21,5005171
4947,Singapore,5/30/21,62028
4948,US,5/30/21,33373432
4949,United Kingdom,5/30/21,4499935
4950,Australia,5/31/21,30118
4951,Canada,5/31/21,1387091
4952,China,5/31/21,112286
4953,Germany,5/31/21,3681126
4954,"Korea, South",5/31/21,140799
4955,Malaysia,5/31/21,572357
4956,Russia,5/31/21,5013512
4957,Singapore,5/31/21,62051
4958,US,5/31/21,33379705
4959,United Kingdom,5/31/21,4503229
4960,Australia,6/1/21,30124
4961,Canada,6/1/21,1388921
4962,China,6/1/21,112329
4963,Germany,6/1/21,3682911
4964,"Korea, South",6/1/21,141476
4965,Malaysia,6/1/21,579462
4966,Russia,6/1/21,5022881
4967,Singapore,6/1/21,62069
4968,US,6/1/21,33400565
4969,United Kingdom,6/1/21,4506331
4970,Australia,6/2/21,30137
4971,Canada,6/2/21,1391117
4972,China,6/2/21,112368
4973,Germany,6/2/21,3687828
4974,"Korea, South",6/2/21,142157
4975,Malaysia,6/2/21,587165
4976,Russia,6/2/21,5031583
4977,Singapore,6/2/21,62100
4978,US,6/2/21,33417277
4979,United Kingdom,6/2/21,4510595
4980,Australia,6/3/21,30141
4981,Canada,6/3/21,1393272
4982,China,6/3/21,112407
4983,Germany,6/3/21,3692468
4984,"Korea, South",6/3/21,142852
4985,Malaysia,6/3/21,595374
4986,Russia,6/3/21,5040390
4987,Singapore,6/3/21,62145
4988,US,6/3/21,33435676
4989,United Kingdom,6/3/21,4515776
4990,Australia,6/4/21,30157
4991,Canada,6/4/21,1395085
4992,China,6/4/21,112450
4993,Germany,6/4/21,3695633
4994,"Korea, South",6/4/21,143596
4995,Malaysia,6/4/21,603122
4996,Russia,6/4/21,5049210
4997,Singapore,6/4/21,62158
4998,US,6/4/21,33453539
4999,United Kingdom,6/4/21,4521920
5000,Australia,6/5/21,30173
5001,Canada,6/5/21,1396586
5002,China,6/5/21,112503
5003,Germany,6/5/21,3697927
5004,"Korea, South",6/5/21,144152
5005,Malaysia,6/5/21,610574
5006,Russia,6/5/21,5058221
5007,Singapore,6/5/21,62176
5008,US,6/5/21,33469143
5009,United Kingdom,6/5/21,4527575
5010,Australia,6/6/21,30191
5011,Canada,6/6/21,1397774
5012,China,6/6/21,112539
5013,Germany,6/6/21,3700367
5014,"Korea, South",6/6/21,144637
5015,Malaysia,6/6/21,616815
5016,Russia,6/6/21,5067246
5017,Singapore,6/6/21,62196
5018,US,6/6/21,33475158
5019,United Kingdom,6/6/21,4532801
5020,Australia,6/7/21,30205
5021,Canada,6/7/21,1399237
5022,China,6/7/21,112597
5023,Germany,6/7/21,3701484
5024,"Korea, South",6/7/21,145091
5025,Malaysia,6/7/21,622086
5026,Russia,6/7/21,5076543
5027,Singapore,6/7/21,62210
5028,US,6/7/21,33489232
5029,United Kingdom,6/7/21,4538391
5030,Australia,6/8/21,30210
5031,Canada,6/8/21,1400611
5032,China,6/8/21,112620
5033,Germany,6/8/21,3702688
5034,"Korea, South",6/8/21,145692
5035,Malaysia,6/8/21,627652
5036,Russia,6/8/21,5086386
5037,Singapore,6/8/21,62219
5038,US,6/8/21,33502273
5039,United Kingdom,6/8/21,4544370
5040,Australia,6/9/21,30225
5041,Canada,6/9/21,1402184
5042,China,6/9/21,112653
5043,Germany,6/9/21,3705942
5044,"Korea, South",6/9/21,146303
5045,Malaysia,6/9/21,633891
5046,Russia,6/9/21,5096657
5047,Singapore,6/9/21,62223
5048,US,6/9/21,33520837
5049,United Kingdom,6/9/21,4551689
5050,Australia,6/10/21,30228
5051,Canada,6/10/21,1403622
5052,China,6/10/21,112702
5053,Germany,6/10/21,3709129
5054,"Korea, South",6/10/21,146859
5055,Malaysia,6/10/21,639562
5056,Russia,6/10/21,5108217
5057,Singapore,6/10/21,62236
5058,US,6/10/21,33535621
5059,United Kingdom,6/10/21,4558927
5060,Australia,6/11/21,30234
5061,Canada,6/11/21,1404971
5062,China,6/11/21,112758
5063,Germany,6/11/21,3711569
5064,"Korea, South",6/11/21,147422
5065,Malaysia,6/11/21,646411
5066,Russia,6/11/21,5120578
5067,Singapore,6/11/21,62245
5068,US,6/11/21,33560767
5069,United Kingdom,6/11/21,4566895
5070,Australia,6/12/21,30248
5071,Canada,6/12/21,1406133
5072,China,6/12/21,112820
5073,Germany,6/12/21,3713480
5074,"Korea, South",6/12/21,147874
5075,Malaysia,6/12/21,652204
5076,Russia,6/12/21,5133938
5077,Singapore,6/12/21,62263
5078,US,6/12/21,33569927
5079,United Kingdom,6/12/21,4574453
5080,Australia,6/13/21,30262
5081,Canada,6/13/21,1407055
5082,China,6/13/21,112854
5083,Germany,6/13/21,3714969
5084,"Korea, South",6/13/21,148273
5085,Malaysia,6/13/21,657508
5086,Russia,6/13/21,5148499
5087,Singapore,6/13/21,62276
5088,US,6/13/21,33575197
5089,United Kingdom,6/13/21,4581778
5090,Australia,6/14/21,30273
5091,Canada,6/14/21,1408107
5092,China,6/14/21,112896
5093,Germany,6/14/21,3715518
5094,"Korea, South",6/14/21,148647
5095,Malaysia,6/14/21,662457
5096,Russia,6/14/21,5162049
5097,Singapore,6/14/21,62301
5098,US,6/14/21,33586985
5099,United Kingdom,6/14/21,4589397
5100,Australia,6/15/21,30286
5101,Canada,6/15/21,1409077
5102,China,6/15/21,112943
5103,Germany,6/15/21,3716170
5104,"Korea, South",6/15/21,149191
5105,Malaysia,6/15/21,667876
5106,Russia,6/15/21,5176051
5107,Singapore,6/15/21,62315
5108,US,6/15/21,33597716
5109,United Kingdom,6/15/21,4596992
5110,Australia,6/16/21,30301
5111,Canada,6/16/21,1410095
5112,China,6/16/21,112997
5113,Germany,6/16/21,3717625
5114,"Korea, South",6/16/21,149731
5115,Malaysia,6/16/21,673026
5116,Russia,6/16/21,5189260
5117,Singapore,6/16/21,62339
5118,US,6/16/21,33609626
5119,United Kingdom,6/16/21,4605811
5120,Australia,6/17/21,30309
5121,Canada,6/17/21,1411193
5122,China,6/17/21,113040
5123,Germany,6/17/21,3718955
5124,"Korea, South",6/17/21,150238
5125,Malaysia,6/17/21,678764
5126,Russia,6/17/21,5203117
5127,Singapore,6/17/21,62366
5128,US,6/17/21,33621386
5129,United Kingdom,6/17/21,4616623
5130,Australia,6/18/21,30322
5131,Canada,6/18/21,1412182
5132,China,6/18/21,113094
5133,Germany,6/18/21,3720031
5134,"Korea, South",6/18/21,150720
5135,Malaysia,6/18/21,685204
5136,Russia,6/18/21,5220168
5137,Singapore,6/18/21,62382
5138,US,6/18/21,33642568
5139,United Kingdom,6/18/21,4626912
5140,Australia,6/19/21,30331
5141,Canada,6/19/21,1412925
5142,China,6/19/21,113157
5143,Germany,6/19/21,3721139
5144,"Korea, South",6/19/21,151149
5145,Malaysia,6/19/21,691115
5146,Russia,6/19/21,5237847
5147,Singapore,6/19/21,62403
5148,US,6/19/21,33651619
5149,United Kingdom,6/19/21,4636990
5150,Australia,6/20/21,30355
5151,Canada,6/20/21,1413544
5152,China,6/20/21,113186
5153,Germany,6/20/21,3721981
5154,"Korea, South",6/20/21,151506
5155,Malaysia,6/20/21,696408
5156,Russia,6/20/21,5255214
5157,Singapore,6/20/21,62414
5158,US,6/20/21,33656572
5159,United Kingdom,6/20/21,4646067
5160,Australia,6/21/21,30366
5161,Canada,6/21/21,1414228
5162,China,6/21/21,113229
5163,Germany,6/21/21,3722327
5164,"Korea, South",6/21/21,151901
5165,Malaysia,6/21/21,701019
5166,Russia,6/21/21,5272328
5167,Singapore,6/21/21,62430
5168,US,6/21/21,33667127
5169,United Kingdom,6/21/21,4656542
5170,Australia,6/22/21,30380
5171,Canada,6/22/21,1414880
5172,China,6/22/21,113278
5173,Germany,6/22/21,3722782
5174,"Korea, South",6/22/21,152545
5175,Malaysia,6/22/21,705762
5176,Russia,6/22/21,5288766
5177,Singapore,6/22/21,62448
5178,US,6/22/21,33677922
5179,United Kingdom,6/22/21,4668030
5180,Australia,6/23/21,30404
5181,Canada,6/23/21,1415589
5182,China,6/23/21,113305
5183,Germany,6/23/21,3723798
5184,"Korea, South",6/23/21,153155
5185,Malaysia,6/23/21,711006
5186,Russia,6/23/21,5306069
5187,Singapore,6/23/21,62470
5188,US,6/23/21,33690587
5189,United Kingdom,6/23/21,4683984
5190,Australia,6/24/21,30424
5191,Canada,6/24/21,1416297
5192,China,6/24/21,113347
5193,Germany,6/24/21,3724806
5194,"Korea, South",6/24/21,153789
5195,Malaysia,6/24/21,716847
5196,Russia,6/24/21,5325940
5197,Singapore,6/24/21,62493
5198,US,6/24/21,33705063
5199,United Kingdom,6/24/21,4700708
5200,Australia,6/25/21,30457
5201,Canada,6/25/21,1416935
5202,China,6/25/21,113394
5203,Germany,6/25/21,3725580
5204,"Korea, South",6/25/21,154457
5205,Malaysia,6/25/21,722659
5206,Russia,6/25/21,5346005
5207,Singapore,6/25/21,62513
5208,US,6/25/21,33729662
5209,United Kingdom,6/25/21,4716039
5210,Australia,6/26/21,30499
5211,Canada,6/26/21,1417455
5212,China,6/26/21,113431
5213,Germany,6/26/21,3726172
5214,"Korea, South",6/26/21,155071
5215,Malaysia,6/26/21,728462
5216,Russia,6/26/21,5367317
5217,Singapore,6/26/21,62530
5218,US,6/26/21,33739031
5219,United Kingdom,6/26/21,4734015
5220,Australia,6/27/21,30528
5221,Canada,6/27/21,1417858
5222,China,6/27/21,113478
5223,Germany,6/27/21,3726710
5224,"Korea, South",6/27/21,155572
5225,Malaysia,6/27/21,734048
5226,Russia,6/27/21,5387486
5227,Singapore,6/27/21,62544
5228,US,6/27/21,33743654
5229,United Kingdom,6/27/21,4748673
5230,Australia,6/28/21,30560
5231,Canada,6/28/21,1418570
5232,China,6/28/21,113519
5233,Germany,6/28/21,3726929
5234,"Korea, South",6/28/21,156167
5235,Malaysia,6/28/21,739266
5236,Russia,6/28/21,5408744
5237,Singapore,6/28/21,62553
5238,US,6/28/21,33757244
5239,United Kingdom,6/28/21,4771347
5240,Australia,6/29/21,30602
5241,Canada,6/29/21,1419198
5242,China,6/29/21,113555
5243,Germany,6/29/21,3727333
5244,"Korea, South",6/29/21,156961
5245,Malaysia,6/29/21,745703
5246,Russia,6/29/21,5428961
5247,Singapore,6/29/21,62563
5248,US,6/29/21,33764721
5249,United Kingdom,6/29/21,4791597
5250,Australia,6/30/21,30643
5251,Canada,6/30/21,1419748
5252,China,6/30/21,113577
5253,Germany,6/30/21,3728141
5254,"Korea, South",6/30/21,157723
5255,Malaysia,6/30/21,751979
5256,Russia,6/30/21,5449594
5257,Singapore,6/30/21,62579
5258,US,6/30/21,33780069
5259,United Kingdom,6/30/21,4817245
5260,Australia,7/1/21,30684
5261,Canada,7/1/21,1420024
5262,China,7/1/21,113614
5263,Germany,7/1/21,3729033
5264,"Korea, South",7/1/21,158549
5265,Malaysia,7/1/21,758967
5266,Russia,7/1/21,5472722
5267,Singapore,7/1/21,62589
5268,US,7/1/21,33795192
5269,United Kingdom,7/1/21,4844879
5270,Australia,7/2/21,30734
5271,Canada,7/2/21,1420680
5272,China,7/2/21,113667
5273,Germany,7/2/21,3729682
5274,"Korea, South",7/2/21,159342
5275,Malaysia,7/2/21,765949
5276,Russia,7/2/21,5495513
5277,Singapore,7/2/21,62599
5278,US,7/2/21,33824945
5279,United Kingdom,7/2/21,4871745
5280,Australia,7/3/21,30753
5281,Canada,7/3/21,1421065
5282,China,7/3/21,113694
5283,Germany,7/3/21,3730353
5284,"Korea, South",7/3/21,160084
5285,Malaysia,7/3/21,772607
5286,Russia,7/3/21,5519516
5287,Singapore,7/3/21,62606
5288,US,7/3/21,33830356
5289,United Kingdom,7/3/21,4896279
5290,Australia,7/4/21,30804
5291,Canada,7/4/21,1421358
5292,China,7/4/21,113735
5293,Germany,7/4/21,3730912
5294,"Korea, South",7/4/21,160795
5295,Malaysia,7/4/21,778652
5296,Russia,7/4/21,5544209
5297,Singapore,7/4/21,62617
5298,US,7/4/21,33834639
5299,United Kingdom,7/4/21,4920252
5300,Australia,7/5/21,30831
5301,Canada,7/5/21,1421931
5302,China,7/5/21,113771
5303,Germany,7/5/21,3731124
5304,"Korea, South",7/5/21,161541
